# test_for_audio_implicit_full — FULL-RES (256x512) results

Radial depth, scene_split (72/9/9), loaded from actual files at 256x512 (no 64x128 downsampling). cos-lat weighted metrics. seed = mean ± std.

**Progress: 340/351 trained runs evaluated (of 93 total jobs).**

| model (seed-grouped) | n | test MAE ↓ | MAE_plain | (64×128 plain) | MAE_low | δ<1.25 ↑ | shuffle MAE | mirror_better |
| Bnode2_crossself_flip | 2 | 0.9133 ± 0.0036 | 0.7695 ± 0.0051 | — | 0.8751 ± 0.0036 | 0.441 ± 0.001 | 1.1396 | 0.248 ± 0.001 |
| Q_rd_silog25 | 1 | 0.9146 | 0.7721 | — | 0.8756 | 0.437 | — | 0.260 |
| C_raydpt_lsaoff | 1 | 0.9154 | 0.7723 | — | 0.8767 | 0.444 | — | 0.274 |
| Q2_gcc_rel10silog25 | 1 | 0.9154 | 0.7696 | — | 0.8776 | 0.446 | — | 0.257 |
| R_echo_unet_e2 | 1 | 0.9155 | 0.7664 | — | 0.8783 | 0.453 | — | 0.271 |
| Q15_csa_norm_w20 | 1 | 0.9157 | 0.7669 | — | 0.8791 | 0.433 | — | 0.274 |
| Q_rd_rel10_wlow1 | 1 | 0.9161 | 0.7748 | — | 0.8786 | 0.435 | — | 0.260 |
| Q14_gamma_p05 | 1 | 0.9168 | 0.7647 | — | 0.8767 | 0.458 | — | 0.253 |
| A3_crossSH | 1 | 0.9170 | 0.7738 | — | 0.8801 | 0.434 | 1.1396 | 0.243 |
| Q2_unet_downs7 | 1 | 0.9179 | 0.7696 | — | 0.8793 | 0.437 | — | 0.295 |
| Q_rdmsf_rel10 | 2 | 0.9179 ± 0.0026 | 0.7735 ± 0.0038 | — | 0.8815 ± 0.0028 | 0.442 ± 0.007 | — | 0.266 ± 0.000 |
| Bnode2_cross_flip_nr8192 | 2 | 0.9180 ± 0.0049 | 0.7718 ± 0.0031 | — | 0.8796 ± 0.0047 | 0.439 ± 0.001 | — | 0.243 ± 0.002 |
| A4_ffmask | 1 | 0.9184 | 0.7711 | — | 0.8812 | 0.442 | 1.1481 | 0.251 |
| A5_crossMic | 1 | 0.9188 | 0.7724 | — | 0.8811 | 0.437 | 1.1494 | 0.241 |
| Bnode2_cross_nolog | 3 | 0.9201 ± 0.0048 | 0.7735 ± 0.0037 | — | 0.8821 ± 0.0049 | 0.437 ± 0.002 | 1.1324 ± 0.0134 | 0.247 ± 0.010 |
| Bnode2_cross_hitokflip | 3 | 0.9208 ± 0.0009 | 0.7750 ± 0.0014 | — | 0.8828 ± 0.0011 | 0.435 ± 0.001 | 1.1308 ± 0.0017 | 0.246 ± 0.006 |
| T_film | 1 | 0.9211 | 0.7763 | 0.7781 | 0.8835 | 0.435 | 1.1299 | 0.244 |
| A23_vit_fourier | 3 | 0.9214 ± 0.0153 | 0.7724 ± 0.0135 | 0.7859 | 0.8838 ± 0.0157 | 0.438 ± 0.010 | 1.1235 ± 0.0068 | 0.281 ± 0.016 |
| Q8_gcc_csa_wscale10 | 1 | 0.9218 | 0.7753 | — | 0.8833 | 0.445 | — | 0.277 |
| T_mlpskip | 1 | 0.9228 | 0.7748 | 0.7804 | 0.8852 | 0.434 | 1.1458 | 0.252 |
| T_sector | 1 | 0.9250 | 0.7777 | 0.7736 | 0.8870 | 0.436 | 1.1411 | 0.259 |
| U_unet8_scale1 | 1 | 0.9250 | 0.7726 | — | 0.8852 | 0.431 | — | 0.292 |
| R_echo_ray_e2 | 1 | 0.9255 | 0.7765 | — | 0.8889 | 0.438 | — | 0.264 |
| A4_cross | 3 | 0.9258 ± 0.0012 | 0.7805 ± 0.0028 | 0.7789 | 0.8881 ± 0.0007 | 0.435 ± 0.001 | 1.1414 ± 0.0077 | 0.260 ± 0.007 |
